seniority,department,position,organization
Management,Other,Prokurist,Depot4Design GmbH
Professional,Information Technology,Solutions Architect,Computer Solutions
Professional,Consulting,Medizintechnik Beratung,Udo Weber
Professional,Administrative,Administrador Unico,Viajes Oceano S.L.
Lead,Administrative,"APL-ansvarig, samordning",Himmelstalunds Utbildningscentrum
Lead,Sales,Kaufmännischer Leiter,FSD Fahrzeugsystemdaten GmbH
Lead,Other,Lab-Supervisor,MacDermid Enthone Industrial Solutions
Professional,Human Resources,Human Resources Generalist,Boise Cascade Company
Management,Other,Managing Director,PhoboSys GmbH
Professional,Other,Set Lighting,Twentieth Century Fox
Professional,Project Management,Projektmanager,msg systems ag
Professional,Other,Leistungssachbearbeiter SGB II,Landeshauptstadt Wiesbaden
Professional,Consulting,energy and sustainability consultant bei,ee concept gmbh
Professional,Purchasing,Purchasing Manager,ACCOPPIATURA DI ASOLO S.P.A.
Management,Other,Geschäftsführer,Team Jösten
Senior,Project Management,Senior Project Manager,Swiss Life Asset Managers Deutschland
Professional,Other,Dr. phil.,Selbstständig
Management,Marketing,"Geschäftsführer, CMO",Thurm GmbH
Lead,Other,Bereichsleiter Maschinen,Vorruhestand
Senior,Information Technology,Principal RF Design Engineer,Etse Electronics (Pty) Ltd
Professional,Other,Physician Assistant,Tallahassee Orthopedic Clinic
Management,Other,Co-Owner,Stork Lijmen
Professional,Other,Qualifizierter Kreditsachbearbeiter im risikorelevanten Kreditgeschäft,VR Bank Lahn-Dill
Director,Other,Director,Consultant Juridique International Ltd
Professional,Information Technology,IT Systems and Network Engineer,TALLY WEiJL
Senior,Information Technology,Senior IT-Sicherheitsbeauftragter,ALIUD PHARMA GmbH
Senior,Project Management,Senior Project Manager,Hypergene
Lead,Human Resources,Head of HR/CHRO,Giesecke+Devrient
Professional,Consulting,Human Resources Consultant,Quest ontheFRONTIER
Management,Other,Managing Director,Exelonix GmbH
Professional,Project Management,Product Manager,FRANK GmbH
Professional,Other,Reporter,Norra Halland
Management,Other,Geschäftsführer,EnBet Consulting
Management,Other,CEO / Managing Shareholder,TOPMOTIVE
Management,Other,Geschäftsführer,Wehner Consulting GmbH
Director,Sales,Director Sales,Kampffmeyer Food Innovation GmbH
Lead,Project Management,Sub-Stream Lead Simplify | Turnaround Programs,Lufthansa
Management,Sales,Chief Revenue Officer (CRO),noury AG
Professional,Business Development,Business Development Manager,Nordson Adhesive Dispensing Systems
Lead,Other,Projektleiterin Bildung,myclimate
Management,Other,Co Owner,Dreamcatcher Alley
Lead,Consulting,"Practice Leader, Data Valorization Strategy",Desjardins
Professional,Other,iş güvenliği,Sedef Shipbuilding Inc.
Management,Other,Geschäftsführer bei Giganet Services GmbH,Giganet Services GmbH
Director,Marketing,Strategic Design Director,moodley
Management,Other,Geschäftsführer,Vulkankultour GmbH
Lead,Information Technology,Technical Team Lead,Nextwo Co.
Management,Other,Managing Director,WIDMER Skippers
Management,Other,Gesellschafter,Augustin Entsorgung Holding GnbH
Professional,Other,Maschinenbautechniker,VTA Verfahrenstechnische Anlagen GmbH & Co. KG
Lead,Customer Support,Technical Customer Service Manager - Flexible Packaging,Henkel
Professional,Information Technology,Java Software Engineer,Selecty
Lead,Business Development,New Business Manager,Fieldspace Property Group
Lead,Business Development,Strategic Engagement Manager,Atlassian
Professional,Project Management,Projektmanager,EDAG Engineering GmbH
Professional,Marketing,Brand Ambassador,Vitamin Well AB
Director,Project Management,Director of Product Management,Murata Vios
Director,Other,Executive Director of Therapies and Developmental Services,Children's Wisconsin
Professional,Project Management,Projektmanager,Axians NEO Solutions & Technology GmbH
Professional,Information Technology,Project Engineer Process Technology - Future Farming,Körber Technologies
Management,Other,Kurucu Ortak,SOR Eğitim Danışmanlık
Professional,Marketing,Digital Marketing Manager,Cranfield University School of Management
Management,Other,Eigenaar,"Bureau Maaiveld, het breed inzetbare bureau voor ontwikkeling"
Professional,Purchasing,Procurement Manager Strategische Inkoop,Byldis
Management,Business Development,Partner,Rüdisühli Rechtsanwälte Part mbB
Lead,Other,Lead Naval Architect,Naval Sea Systems Command (NAVSEA) SUPSHIP San Diego
Professional,Sales,Inside Sales,Nidec Control Techniques
Professional,Sales,Key-Account-Manager,"Detlef Meyer ""DM108.de - LEH Vertrieb"""
Management,Other,Managing Director,s h e d
Professional,Other,Berufskraftfahrer,Paul Schockemöhle Logistics GmbH & Co. KG
Lead,Other,Head of Glass Technology,HEINZ-GLAS Produktion GmbH & Co KGaA
Professional,Sales,Key-Account-Manager,Nagel-Group
Lead,Other,Accounting Manager,Dow Jones Local Media Group
Lead,Information Technology,Interims Technical Manager,TTS NMF GmbH
Professional,Project Management,Project Manager,"MADELINE STUART & ASSOCIATES, INC."
Professional,Consulting,Management Consultant Information Security and Privacy,Cassini Consulting AG
Lead,Administrative,Büroleiter | Pressesprecher,Dr. Zanda Martens MdB | Büro Düsseldorf
Professional,Other,Departementssekretär Finanz,Stadt Zug
Management,Other,Managing Director,Aximpro
Senior,Consulting,Senior Manager Strategy & Business Transformation Health,PwC Switzerland
Professional,Other,Manager | Mergers & Acquisitions,Deloitte
Lead,Consulting,Technical Transfer Leader,Roche Pharmaceuticals
Professional,Sales,Account manager / Sælger Helly Hansen Workwear Sjælland & Bornholm,Helly Hansen
Management,Other,Geschäftsführender Gesellschafter,agn Gruppe
Director,Other,Director,Peter van Setten Transport B.V.
Management,Other,Unternehmensinhaber,Herz Transporte und Spedition
Management,Other,"Board Member, CFO / Asset Management",KZVK
Management,Other,CEO,Tirol Werbung
Professional,Other,Finance - AWS Global Private Pricing,Amazon Web Services (AWS)
Professional,Information Technology,Software Developer,Harmonic
Management,Other,Vice President Global Head Order Processing / Prokurist,SSI SCHÄFER
Lead,Other,CEO Morgenpost & TAG 24 | Vertriebsleiter Sächsische Zeitung / Lesermark | CEO MVD Ökoflitzer,DDV Mediengruppe
