num_jobs,active_roles,total_experience_months,avg_job_duration_months,max_job_duration_months,current_title,department,seniority,current_org
6,5,613,102.16666666666667,229,Prokurist,Other,Management,Depot4Design GmbH
8,1,278,34.75,56,Solutions Architect,Information Technology,Professional,Computer Solutions
3,1,462,154.0,428,Medizintechnik Beratung,Consulting,Professional,Udo Weber
7,3,511,73.0,180,Director expansión de negocio.,Business Development,Director,Grupo Viajes Kontiki.
8,1,76,9.5,76,"APL-ansvarig, samordning",Administrative,Lead,Himmelstalunds Utbildningscentrum
2,1,339,169.5,223,Kaufmännischer Leiter,Sales,Lead,FSD Fahrzeugsystemdaten GmbH
1,1,0,0.0,0,Lab-Supervisor,Other,Lead,MacDermid Enthone Industrial Solutions
7,1,177,25.285714285714285,42,Human Resources Generalist,Human Resources,Professional,Boise Cascade Company
5,1,221,44.2,119,Managing Director,Other,Management,PhoboSys GmbH
5,5,1555,311.0,311,Set Lighting,Other,Professional,Twentieth Century Fox
2,1,293,146.5,199,Projektmanager,Project Management,Professional,msg systems ag
1,1,96,96.0,96,Leistungssachbearbeiter SGB II,Other,Professional,Landeshauptstadt Wiesbaden
2,1,202,101.0,143,energy and sustainability consultant bei,Consulting,Professional,ee concept gmbh
1,1,75,75.0,75,Purchasing Manager,Purchasing,Professional,ACCOPPIATURA DI ASOLO S.P.A.
1,1,245,245.0,245,Geschäftsführer,Other,Management,Team Jösten
4,1,137,34.25,51,Senior Project Manager,Project Management,Senior,Swiss Life Asset Managers Deutschland
6,1,384,64.0,107,Dr. phil.,Other,Professional,Selbstständig
3,2,339,113.0,167,"Geschäftsführer, CMO",Marketing,Management,Thurm GmbH
3,1,737,245.66666666666666,353,Bereichsleiter Maschinen,Other,Lead,Vorruhestand
1,1,267,267.0,267,Principal RF Design Engineer,Information Technology,Senior,Etse Electronics (Pty) Ltd
6,1,214,35.666666666666664,60,Physician Assistant,Other,Professional,Tallahassee Orthopedic Clinic
5,3,982,196.4,287,CEO/Founder,Other,Management,ESBA Horti Solutions BV
2,1,400,200.0,400,Qualifizierter Kreditsachbearbeiter im risikorelevanten Kreditgeschäft,Other,Professional,VR Bank Lahn-Dill
2,1,339,169.5,330,Director,Other,Director,Consultant Juridique International Ltd
2,1,100,50.0,51,IT Systems and Network Engineer,Information Technology,Professional,TALLY WEiJL
3,3,510,170.0,279,IT-Teamleiter,Information Technology,Lead,ALIUD PHARMA GmbH
9,1,398,44.22222222222222,123,Senior Project Manager,Project Management,Senior,Hypergene
6,1,322,53.666666666666664,82,Head of HR/CHRO,Human Resources,Lead,Giesecke+Devrient
3,1,46,15.333333333333334,28,Human Resources Consultant,Consulting,Professional,Quest ontheFRONTIER
5,1,249,49.8,154,Managing Director,Other,Management,Exelonix GmbH
4,1,60,15.0,26,Product Manager,Project Management,Professional,FRANK GmbH
7,2,75,10.714285714285714,21,Reporter,Other,Professional,Norra Halland
7,1,198,28.285714285714285,58,Geschäftsführer,Other,Management,EnBet Consulting
6,3,61,10.166666666666666,40,Member of the Advisory Board,Other,Management,DigitalNativeAlliance
3,1,128,42.666666666666664,78,Geschäftsführer,Other,Management,Wehner Consulting GmbH
1,1,443,443.0,443,Director Sales,Sales,Director,Kampffmeyer Food Innovation GmbH
12,1,254,21.166666666666668,47,Sub-Stream Lead Simplify | Turnaround Programs,Project Management,Lead,Lufthansa
4,1,573,143.25,346,Chief Revenue Officer (CRO),Sales,Management,noury AG
11,1,258,23.454545454545453,93,Business Development Manager,Business Development,Professional,Nordson Adhesive Dispensing Systems
7,1,118,16.857142857142858,54,Projektleiterin Bildung,Other,Lead,myclimate
4,1,0,0.0,0,Co Owner,Other,Management,Dreamcatcher Alley
14,1,22,1.5714285714285714,13,"Practice Leader, Data Valorization Strategy",Consulting,Lead,Desjardins
4,1,154,38.5,70,iş güvenliği,Other,Professional,Sedef Shipbuilding Inc.
16,2,610,38.125,190,Geschäftsführer bei Giganet Services GmbH,Other,Management,Giganet Services GmbH
9,1,289,32.111111111111114,92,Strategic Design Director,Marketing,Director,moodley
