text,predicted_department
"Bookkeeper at Keeping The Books, Bookkeeping",Administrative
Strategy & Investments at Erste Bank und Sparkasse,Business Development
Corporate Auditor at Guido Meyer,Other
Marketing Manager at Tradeware AG,Marketing
Professor at Monash University,Other
Program Purchasing Leader / Program / Acquisition Buyer at Faurecia Innenraum Systeme GmbH,Purchasing
Business Analyst at ALSO Deutschland GmbH,Business Development
Managementberater IT- und Governance at Brandtner IT,Consulting
Founder & CEO at DGC FILM WORKS,Other
Geschäftsführer at auris Steuerberatung OG,Other
Manager at Daimler AG,Other
Koordinerende sagsbehandler at Gladsaxe Kommune,Administrative
Head of Supply Chain at Aglukon Spezialdünger GmbH & Co. KG,Other
Director of Finance (China) at delta pronatura GmbH,Other
Inhaber at Bettina Kern,Other
Geschäftsführer CFO at Policen Direkt-Gruppe,Other
Mitglied der Geschäftsleitung at r2b energy consulting GmbH,Other
"Global Marketing Director, Nonwovens at Owens Corning",Marketing
"Social Researcher at Gesellschaft für Wirtschaft, Arbeit und Kultur",Other
Berater at Personalberatung JG,Consulting
Center Management at ASTERION Germany GmbH,Other
Senior Project Manager at Selbstständig,Project Management
Federal Account Manager at FCN Inc.,Sales
Brand Strategist at Studio Mondu,Marketing
Senior Category Manager at Novo Nordisk,Purchasing
General Manager at Selbstständig,Other
Owner and Executive Director at Luxury Custom Yachts GmbH,Other
Founder & Managing Director at eye4improve,Other
Orthodontie assistent at Orthocenter,Other
Manager Risk Advisory at Deloitte,Consulting
Systemadministrator Clientservices at IT-Services der Sozialversicherung GmbH,Information Technology
IT Program Manager – Information Security at Montgomery County,Information Technology
Pionier der Strömungsoptimierung und Wasserstofftechnologien für effiziente Energielösungen at Sventronik.com,Other
CEO at eightbit experts GmbH,Other
Head of Payment IT Solutions at Lufthansa Group,Information Technology
Banking Prudential Supervision Analyst at Banco de Portugal,Other
Geschäftsführer at Steinbeis Papier GmbH,Other
CEO at eyebase DAM,Other
SVP People & Culture Management and Services; CEO METRO Campus Services GmbH at METRO AG,Human Resources
Managing Director at Daniel Software GmbH,Other
Building Consultant at Building Inspectors SA Pty Ltd,Consulting
Managing Director at HOCHTIEF ViCon,Other
"Senior Director at SEC Co., Ltd",Other
Commercial Director On Trade at gdp Global Drinks Partnership GmbH,Sales
CEO at SF Veranstaltungstechnik,Other
Senior Manager at Detecon International,Consulting
Graduate Engineer at John Holland,Other
Senior Architect at Saakar Creations Pvt Ltd,Other
Dozent DHBW Stuttgart at DHBW Stuttgart,Other
Mitbegründer und Geschäftsführer at ROiOS,Other
Data Researcher at Veeva Systems,Information Technology
MD PhD MBA MMSc at Harvard,Other
Co-Fundador & Lead Developer at Trackeen,Information Technology
Sales Manager at Rail Construction Equipment Co.,Sales
"Director, Digital Services Business at Kalmar",Business Development
Unternehmensinhaber at Der-Astrid-Hartmann-Prozess,Other
Docent lichamelijke opvoeding at Calandlyceum Amsterdam,Other
Marketing Engineer at ams OSRAM,Marketing
Technischer Leiter at Brandt Schokoladen GmbH + Co. KG,Other
Senior Advisor to the CS Pension Fund in Switzerland at Credit Suisse,Human Resources
Gruppenleiter HR KPI & Reporting at DR. JOHANNES HEIDENHAIN GmbH,Human Resources
CEO at thyssenkrupp Materials Schweiz AG,Other
Responsable développement projets at L'éléfàn,Project Management
Transformation Partner at TDC NET,Consulting
"Executive Partner, Senior Software Engineer at Mirai Solutions GmbH",Information Technology
Secretary General/CEO Welthungerhilfe at Welthungerhilfe,Other
Fachreferent MatWerk - Materials Engineering Specialist at German Society for Materials Science - Deutsche Gesellschaft für Materialkunde e.V. (DGM),Other
CEO at Immoheld,Other
Statistiker at Deutsche Bundesbank,Other
Chief Operating Officer at Bee4GIS,Other
Adjunct Researcher at Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI),Other
Self-Employed at TSAR-Tech,Other
Managing Partner at Sade Ofset Printing&Packaging,Other
Partner at edge Performance Limited,Other
Chief Information Officer at 360 Media Direct,Information Technology
Visiting Lecturer at HHL Leipzig Graduate School of Management,Other
Präsidentin Technische Universität Berlin at Technische Universität Berlin,Other
Sr. Customer Support spec. at Billtrust,Customer Support
Personalreferent at Misereor,Human Resources
