text,predicted_department
Bookkeeper,Administrative
Strategy & Investments,Business Development
Corporate Auditor,Other
Marketing Manager,Marketing
Professor,Other
Program Purchasing Leader / Program / Acquisition Buyer,Purchasing
Business Analyst,Business Development
Managementberater IT- und Governance,Consulting
Founder & CEO,Other
Geschäftsführer,Other
Manager,Other
Koordinerende sagsbehandler,Administrative
Head of Supply Chain,Other
Director of Finance,Other
Inhaber,Other
Geschäftsführer CFO,Other
Mitglied der Geschäftsleitung,Other
"Global Marketing Director, Nonwovens",Marketing
Social Researcher,Other
Berater,Consulting
Center Management,Other
Senior Project Manager,Project Management
Federal Account Manager,Sales
Brand Strategist,Marketing
Senior Category Manager,Purchasing
General Manager,Other
Owner and Executive Director,Other
Founder & Managing Director,Other
Orthodontie assistent,Other
Manager Risk Advisory,Consulting
Systemadministrator Clientservices,Information Technology
IT Program Manager – Information Security,Information Technology
Pionier der Strömungsoptimierung und Wasserstofftechnologien für effiziente Energielösungen,Other
CEO,Other
Head of Payment IT Solutions,Information Technology
Banking Prudential Supervision Analyst,Other
Geschäftsführer,Other
CEO,Other
SVP People & Culture Management and Services; CEO METRO Campus Services GmbH,Human Resources
Managing Director,Other
Building Consultant,Consulting
Managing Director,Other
Senior Director,Other
Commercial Director On Trade,Sales
CEO,Other
Senior Manager,Consulting
Graduate Engineer,Other
Senior Architect,Other
Dozent DHBW Stuttgart,Other
Mitbegründer und Geschäftsführer,Other
Data Researcher,Information Technology
MD PhD MBA MMSc,Other
Co-Fundador & Lead Developer,Information Technology
Sales Manager,Sales
"Director, Digital Services Business",Business Development
Unternehmensinhaber,Other
Docent lichamelijke opvoeding,Other
Marketing Engineer,Marketing
Technischer Leiter,Other
Senior Advisor to the CS Pension Fund in Switzerland,Human Resources
Gruppenleiter HR KPI & Reporting,Human Resources
CEO,Other
Responsable développement projets,Project Management
Transformation Partner,Consulting
"Executive Partner, Senior Software Engineer",Information Technology
Secretary General/CEO Welthungerhilfe,Other
Fachreferent MatWerk,Other
CEO,Other
Statistiker,Other
Chief Operating Officer,Other
Adjunct Researcher,Other
Self-Employed,Other
Managing Partner,Other
Partner,Other
Chief Information Officer,Information Technology
